date,open,close,low,high,volume
2010-01-10,306.9888564998,304.3716583012,302.2575799858,308.4902323742,8061300.0
2010-01-17,294.4807172762,293.7524446208,290.5902993178,296.7641683412,11337200.0
2010-01-24,288.30984342650004,286.55391233750004,281.28241893874997,290.6386132505,10376425.0
2010-01-31,269.8699207836,267.8714126826,265.3379000102,272.4910983666,8073800.0
2010-02-07,265.3687899268,265.3090060118,262.43278638920003,267.4350471878,6375620.0
2010-02-14,266.2425097108,266.38997089,264.4382707412,268.88860200700003,5170460.0
2010-02-21,268.611140252,269.42683059425,267.46668333225,271.05573207175,5306775.0
2010-02-28,266.8870970394,265.2631867536,263.7398932318,267.97702193320004,5099820.0
2010-03-07,270.47565902779996,272.7650795178,269.7991929888,274.06022937840004,6737100.0
2010-03-14,284.014934101,284.91256127400004,282.250538987,287.206962196,7309040.0
2010-03-21,281.0998595164,280.9812984124,279.0794214142,283.5138101366,7218200.0
2010-03-28,277.2562494106,277.8988467978,274.4378179834,281.385785296,9113320.0
2010-04-04,281.72326889975,282.078189072,280.10184427225,283.380803553,5127000.0
2010-04-11,282.7875333006,282.58927243119996,280.9783015454,284.2490592426,4234420.0
2010-04-18,287.4341232408,288.3148254528,284.8607607354,291.096403515,11508800.0
2010-04-25,274.8333265202,274.1219971576,272.36358352319996,276.535947778,5875020.0
2010-05-02,266.05521085280003,263.7707708946,261.9765051432,268.2280843896,6871140.0
2010-05-09,255.3154553932,252.906476039,246.1866555758,258.85220478760004,9075940.0
2010-05-16,255.83651035120002,254.496524049,251.99987350780003,257.8071253026,7525680.0
2010-05-23,245.79611541620002,243.86934203599998,241.232215932,248.0058451068,9503020.0
2010-05-30,239.9649682872,239.6810322492,237.09770569120002,243.36422942180002,6641700.0
2010-06-06,244.3271210925,246.58367472525,243.21130108475,249.33834479575,6413150.0
2010-06-13,242.790379054,241.0797834864,238.12286603860002,244.66735070340002,5382520.0
2010-06-20,247.04344721060002,247.32937309,244.7131790276,249.88778812239997,5395840.0
2010-06-27,242.43272174140003,239.566460094,238.3669553322,243.573446226,4565380.0
2010-07-04,226.93976604280002,223.8941766598,222.6139680956,228.2060217056,5748280.0
2010-07-11,225.13402627375,225.44536330625,221.85008130575,227.840142959,6368800.0
2010-07-18,239.6371938662,240.10045754019998,237.113648135,242.244424725,9279260.0
2010-07-25,236.119374517,239.1181378158,234.7245999742,240.8885050448,6542960.0
2010-08-01,243.1101794636,242.66983448460002,240.71714554240003,245.05589205500002,4722320.0
2010-08-08,247.36922919980003,248.55677379099998,245.5161710166,249.7722239852,5305120.0
2010-08-15,246.6030931656,246.990639646,245.0768150308,248.612566267,4138760.0
2010-08-22,240.2628478616,237.93357146120002,236.7480164128,242.04716490340002,5510340.0
2010-08-29,226.9317948212,227.1380207356,224.83166004180003,229.308889387,4990700.0
2010-09-05,228.9024127612,228.7948166578,227.2157307594,230.7235920342,4268260.0
2010-09-12,234.93730019650002,235.031942952,233.274775871,236.64839322475,4274175.0
2010-09-19,239.7577384354,240.5537633388,238.9746742524,241.55899279220003,5810380.0
2010-09-26,254.18668151440002,256.888559911,253.27211383880004,258.6001473612,6858020.0
2010-10-03,263.9451242754,262.6838550224,260.4173410728,265.59195335559997,5782860.0
2010-10-10,265.1635588832,265.1356596566,262.2275553454,267.298566152,5406040.0
2010-10-17,275.87143254439997,275.5586084854,273.57504188,277.4575007712,12403980.0
2010-10-24,302.961945152,304.6625767672,301.5661725504,307.12036308099994,8185600.0
2010-10-31,307.0077896338,307.23393747619997,305.31811385360004,309.4376766208,4968800.0
2010-11-07,308.81501929340004,308.855864097,307.0994524588,310.62622843680003,5541260.0
2010-11-14,309.8182559162,308.3397987364,306.5086554116,310.8444172114,5014660.0
2010-11-21,295.57661767260004,293.91184445159996,292.6804640674,297.810245786,5667580.0
2010-11-28,292.93376047525,293.79927082975,290.78555559949996,295.39703676075,4043350.0
2010-12-05,285.39078467539997,283.6363507244,281.8450573318,287.4729721256,7592400.0
2010-12-12,293.98158933039997,292.877723889,291.467009792,294.6052537828,4202200.0
2010-12-19,296.1165843448,295.12830147200003,294.0443517814,297.2931855546,4373600.0
2010-12-26,299.19904515,299.85782164425,297.83166455325,300.8229645515,3097050.0
2011-01-02,299.0326599776,298.3950550772,297.4705112944,299.8575757906,2337000.0
2011-01-09,301.7455064628,303.4112624008,300.5569607242,304.7362951528,4368660.0
2011-01-16,307.4710533078,307.64341076979997,305.761461677,308.591856064,3352740.0
2011-01-23,316.31118091425,312.576425569,310.03593968375003,318.9002279055,10746700.0
2011-01-30,306.1589723096,305.382872223,302.4707884282,308.41750268320004,6638420.0
2011-02-06,302.7377809746,303.31661506219996,300.7661773288,304.36468812699997,4158160.0
2011-02-13,305.81924997240003,307.8576019286,304.9196085492,308.8399216532,4119780.0
2011-02-20,311.1881251102,312.017014529,309.8092959006,313.29224256099997,4256040.0
2011-02-27,305.556477931,303.9101432975,301.69718799725,307.27877857550004,5607650.0
